Duration,Demand,First Stop,Second Stop,Third Stop,Fourth Stop
13404.0,19.0,Countdown Birkenhead,Countdown Newmarket,,
13700.119999999999,20.0,Countdown Birkenhead,Countdown Northcote,,
14735.99,19.0,Countdown Birkenhead,Countdown Northwest,,
13712.64,20.0,Countdown Birkenhead,Countdown Onehunga,,
14176.67,21.0,Countdown Birkenhead,Countdown Ponsonby,,
13877.57,20.0,Countdown Birkenhead,Countdown Pt Chevalier,,
12856.76,18.0,Countdown Birkenhead,Countdown St Lukes,,
14556.21,20.0,Countdown Birkenhead,Countdown Sunnynook,,
14007.96,20.0,Countdown Birkenhead,Countdown Takapuna,,
14490.619999999999,19.0,Countdown Birkenhead,Countdown Te Atatu,,
14058.11,19.0,Countdown Birkenhead,Countdown Te Atatu South,,
14003.24,21.0,Countdown Birkenhead,Countdown Three Kings,,
14282.67,21.0,Countdown Birkenhead,Countdown Victoria Street West,,
14901.25,20.0,Countdown Birkenhead,Countdown Westgate,,
11603.29,15.0,Countdown Birkenhead,Countdown Metro Albert Street,,
11488.029999999999,15.0,Countdown Birkenhead,Countdown Metro Halsey Street,,
12863.27,15.0,Countdown Birkenhead,FreshChoice Glen Eden,,
11856.74,16.0,Countdown Birkenhead,FreshChoice Mangere Bridge,,
14232.5,17.0,Countdown Birkenhead,FreshChoice Ranui,,
11680.869999999999,15.0,Countdown Birkenhead,SuperValue Avondale,,
13940.2,16.0,Countdown Birkenhead,SuperValue Palomino,,
12936.34,15.0,Countdown Birkenhead,SuperValue Titirangi,,
13081.810000000001,19.0,Countdown Blockhouse Bay,Countdown Auckland City,,
13948.65,19.0,Countdown Blockhouse Bay,Countdown Birkenhead,,
16226.39,20.0,Countdown Blockhouse Bay,Countdown Browns Bay,,
14082.630000000001,18.0,Countdown Blockhouse Bay,Countdown Glenfield,,
12800.630000000001,19.0,Countdown Blockhouse Bay,Countdown Greenlane,,
13166.27,20.0,Countdown Blockhouse Bay,Countdown Grey Lynn,,
11924.54,18.0,Countdown Blockhouse Bay,Countdown Grey Lynn Central,,
13291.3,17.0,Countdown Blockhouse Bay,Countdown Hauraki Corner,,
13140.67,19.0,Countdown Blockhouse Bay,Countdown Henderson,,
